phrase,sentiment_score
with,2
"Try as I may , I ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` Thank you",0
"The tale of Tok -LRB- Andy Lau -RRB- , a sleek sociopath on the trail of O -LRB- Takashi Sorimachi -RRB- , the most legendary of Asian hitmen ,",2
hopeless,1
business,2
as,2
One of creepiest,1
",",2
its,2
blend,2
into,2
A compelling Spanish film about the withering effects,3
who can now add movies to the list of things he does well,4
.,2
",",2
its protagonist 's plight,2
giggle-inducing,4
to,2
hopes and,2
energetic musicals,3
"pictures whose promising , if rather precious , premise is undercut by amateurish execution",1
but,2
us,3
a factor of the last plot device left standing,2
us,3
you,2
.,2
",",2
of pretty and weightless intellectual entertainment,2
have,2
approach,2
",",2
",",2
"I do n't give a damn , ' have never been more appropriate .",1
spring,2
omnibus,2
Treasure Planet,2
musical,2
grace-in-rebellion,3
exploit,2
traditional,3
well-acted,3
to a whole lot of sense,2
reef,2
very,2
ugly,1
about as much,2
respectful,3
we,2
"might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments",1
the,2
Goldie Hawn,3
he does n't hold them in contempt .,2
into,2
"The script kicks in ,",2
makes us think twice about immigrants we see around us every day .,3
by Buy and Accorsi,2
.,2
motocross,2
possess,2
pretty amazing accomplishment,4
"Nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle .",0
little,2
Director of photography Benoit Delhomme shot the movie in delicious colors,4
audience,2
film,2
it,2
but,2
simple,2
",",2
It provides an honest look at a community striving to anchor itself in new grounds .,3
is nothing new,2
", Goodfellas image",2
Akira Kurosawa 's Ran,2
"Care deftly captures the wonder and menace of growing up , but he never really embraces the joy of Fuhrman 's destructive escapism or the grace-in-rebellion found by his characters",1
the,2
An,2
Jackson,2
's,2
it must,3
politics and,2
"a florid , overplotted , Anne Rice rock",1
film,2
the strafings,2
the joy,2
one place,2
If,2
lighting,2
miles,2
Highbrow,3
"works and qualifies as cool at times ,",2
"the car , bitch",2
enamored of her own creation,2
say,2
a lengthy jail sentence,2
on,2
interesting,3
their sleep,2
but,2
's,2
fine,3
inherent,2
lame special effects,1
detailing,3
is,2
has here a thriller without thrills,0
to offend by appearing either too serious or too lighthearted,1
this,2
been,2
the people,2
intimacy,2
told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .,1
for,2
"This illuminating documentary transcends our preconceived vision of the Holy Land and its inhabitants , revealing the human complexities beneath .",3
"imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role",1
wrong turn,2
to provoke shocked laughter,2
"Perry and Hurley make inspiring efforts to breathe life into the disjointed , haphazard script by Jay Scherick and David Ronn",3
"is powerful , accessible and funny",4
has learned new tricks,3
him,2
contempt,1
above,2
of Clones ' last 45 minutes,2
end,2
film 's,2
is a treasure in and of itself,4
calls,2
thinks he 's tough \/,2
The second coming of Harry Potter is a film far superior to its predecessor .,4
even,2
certainly should n't hurt,3
",",2
this one included -RRB-,1
bad,0
It,2
", this white trash War of the Roses is a surprisingly engaging film .",3
offers little beyond the momentary joys of pretty and weightless intellectual entertainment,1
to,2
so,2
as,2
the,2
its,2
Muniz,3
A good piece,3
"All in all , The Count of Monte Cristo is okay , but it is surely no classic , like the novel upon which it is based .",2
and sexual identity,2
A,2
every,2
Sometimes,2
anime,2
outstanding,4
if scratching makes you itch,2
epic,3
the steady pulse of life,3
made me want to wrench my eyes out of my head and toss them at the screen,0
plugged an irritating character late in the movie,2
again,2
all of its banality,2
dimmer,2
performance that is nothing short of mesmerizing,4
"we are left with something like two ships passing in the night rather than any insights into gay love ,",1
Collateral Damage,2
is no pleasure in watching a child suffer,1
show,2
heavy-handed film,1
standards,2
"operatic , sprawling picture",3
about,2
far more pointed and,3
your,2
.,2
Slackers,2
Broadcast,2
topic,3
most,2
something,2
"his co-director ,",2
A,2
",",2
in,2
take off,2
that,2
as much existential,2
not,1
makes the movie a spirited and touching occasion,4
a big ole ',2
originality and,2
in a visual style that is willfully overwrought,1
", the story is just too slim .",1
you avoid the Godzilla,1
trust,2
of it,2
Dowse,2
backstabbing and,1
at,2
the love of cinema-and-self,2
structured and,3
.,2
bad slasher flick,0
a,2
down the toilet in favor of bright flashes and loud bangs,1
",",2
"no good jokes ,",1
the implications,1
Easily my choice,3
-RRB-,3
awesome to consider,3
the,2
do n't settle for this Imposter,1
fashion,2
kind,3
be,2
subtly,2
A ragbag,1
thousand years,2
bumbling,1
brilliant,4
boy,2
characters,2
more conscientious than it is truly stirring,2
a,2
calculating,2
account,2
that,2
or,2
the L.A. beach scene and the imaginative -LRB- and sometimes illegal -RRB- ways kids,2
is positively,2
a week ago that wo n't go away,2
less-than-objective,2
", adolescent yearning , the roots of friendship and sexual identity .",2
the,2
125-year,2
",",2
a decent moral,2
waddling,2
throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs,0
's,2
look,2
the all-too,2
success,3
lacks,1
raising,2
"It 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface",0
"the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards",0
and,2
has,2
Zaidan 's script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight .,1
"This is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other",3
confusions,2
Is this love or is it masochism,2
"If there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam .",0
a dream,3
dumb,1
and,2
say so,2
and,2
colors and prankish comedy,3
three lead actresses,2
are all,2
"adolescent yearning , the roots of friendship and sexual identity .",2
least,1
they,2
Meara,2
lyric,2
action and reflection,2
for Kissinger as a calculating war,1
slogged my way,1
of,2
his buddy Gerald,2
oatmeal,2
are,2
-,2
I,2
huge,2
did n't,2
of an extended cheap,2
